hotel_id,check-in,check-out,rates
21498,13-08-2024,14-08-2024,"{'21498_1': {'Room_name': 'Superior Double Room', 'Rate_name': 'Internet Included - Non-refundable', 'Number of Guests': 2, 'Cancellation Policy': 'Non-refundable', 'Price': 529, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_2': {'Room_name': 'Superior Double Room', 'Rate_name': 'Internet Included', 'Number of Guests': 2, 'Cancellation Policy': 'This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 16:00 (GMT+01:00) on Aug 12, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.', 'Price': 587, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_3': {'Room_name': 'Superior Double Room', 'Rate_name': 'Breakfast Included, Internet Included - Non-refundable', 'Number of Guests': 2, 'Cancellation Policy': 'Non-refundable', 'Price': 617, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_4': {'Room_name': 'Superior Double Room', 'Rate_name': 'Breakfast Included, Internet Included', 'Number of Guests': 2, 'Cancellation Policy': 'This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 16:00 (GMT+01:00) on Aug 12, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.', 'Price': 685, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_5': {'Room_name': 'Superior Room, 1 King Bed', 'Rate_name': 'Internet Included - Non-refundable', 'Number of Guests': 2, 'Cancellation Policy': 'Non-refundable', 'Price': 548, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_6': {'Room_name': 'Superior Room, 1 King Bed', 'Rate_name': 'Internet Included', 'Number of Guests': 2, 'Cancellation Policy': 'This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 16:00 (GMT+01:00) on Aug 12, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.', 'Price': 609, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_7': {'Room_name': 'Superior Room, 1 King Bed', 'Rate_name': 'Breakfast Included, Internet Included - Non-refundable', 'Number of Guests': 2, 'Cancellation Policy': 'Non-refundable', 'Price': 636, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_8': {'Room_name': 'Superior Room, 1 King Bed', 'Rate_name': 'Breakfast Included, Internet Included', 'Number of Guests': 2, 'Cancellation Policy': 'This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 16:00 (GMT+01:00) on Aug 12, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.', 'Price': 707, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_9': {'Room_name': 'Superior Room, 1 Double Bed, City View', 'Rate_name': 'Internet Included - Non-refundable', 'Number of Guests': 2, 'Cancellation Policy': 'Non-refundable', 'Price': 603, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_10': {'Room_name': 'Superior Room, 1 Double Bed, City View', 'Rate_name': 'Internet Included', 'Number of Guests': 2, 'Cancellation Policy': 'This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 16:00 (GMT+01:00) on Aug 12, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.', 'Price': 670, 'Currency': 'AUD', 'Top Deal': False}}"
